id,distributor,page,raw,description,part_number,price,make,model,year_range,category,updated_at
1aeb07a9b4,Listado General Jefcar 2026,2,104630 BOTA EXTERNA - ISUZU DMAX B/. 2 .75,BOTA EXTERNA - ISUZU DMAX,104630,2.0,Isuzu,,,,2026-03-08T13:15:29.710651
5fdaf54bea,Listado General Jefcar 2026,2,174711 BOTA EXTERNA - NISSAN XTRAI L- FORD B/. 2 .50,BOTA EXTERNA - NISSAN XTRAI L- FORD,174711,2.0,Nissan,,,,2026-03-08T13:15:29.710667
fac9db0812,Listado General Jefcar 2026,2,164302 BOTA EXTERNA - NISSAN FRONTIER B/. 3 .00,BOTA EXTERNA - NISSAN FRONTIER,164302,3.0,Nissan,,,,2026-03-08T13:15:29.710680
b86ac09754,Listado General Jefcar 2026,2,174302 BOTA EXTERNA - TOYOTA HILUX VIGO B/. 3 .00,BOTA EXTERNA - TOYOTA HILUX VIGO,174302,3.0,Toyota,,,,2026-03-08T13:15:29.710693
54342f4f1e,Listado General Jefcar 2026,2,174401 BOTA EXTERNA - TOYOTA PRADO B/. 3 .00,BOTA EXTERNA - TOYOTA PRADO,174401,3.0,Toyota,,,,2026-03-08T13:15:29.710706
086ec2487c,Listado General Jefcar 2026,2,174602 BOTA EXTERNA - TOYOTA PRADO TXL B/. 3 .50,BOTA EXTERNA - TOYOTA PRADO TXL,174602,3.0,Toyota,,,,2026-03-08T13:15:29.710718
f2b6212533,Listado General Jefcar 2026,2,BT-I10T BOTA INTERNA TRICETA-HYUNDAI I10 B/. 2 .50,BOTA INTERNA TRICETA-HYUNDAI I10,I10T,2.0,Hyundai,,,,2026-03-08T13:15:29.710745
1860093ffd,Listado General Jefcar 2026,2,BT-106 BOTA INTERNA TRICETA - CHEVROLET AVEO 03-15 B/. 2 .75,BOTA INTERNA TRICETA - CHEVROLET AVEO 03-15,BOTA,2.0,Chevrolet,,,,2026-03-08T13:15:29.710761
2286f294c1,Listado General Jefcar 2026,2,BT-2120 BOTA INTERNA TRICETA - TOYOTA COROLLA 09-14 B/. 2 .75,BOTA INTERNA TRICETA - TOYOTA COROLLA 09-14,2120,2.0,Toyota,,,,2026-03-08T13:15:29.710779
55abb5bf09,Listado General Jefcar 2026,2,BT-02144 BOTA INTERNA TRICETA - TOYOTA COROLLA 98-03 B/. 2 .75,BOTA INTERNA TRICETA - TOYOTA COROLLA 98-03,02144,2.0,Toyota,,,,2026-03-08T13:15:29.710796
f516573ab9,Listado General Jefcar 2026,2,BT-RAV4 BOTA INTERNA TRICETA - TOYOTA RAV4 B/. 2 .75,BOTA INTERNA TRICETA - TOYOTA RAV4,RAV4,2.0,Toyota,,,,2026-03-08T13:15:29.710812
c28a6f08ba,Listado General Jefcar 2026,2,BT-TUCSON BOTA INTERNA TRICETA - HYUNDAI TUCSON B/. 2 .75,BOTA INTERNA TRICETA - HYUNDAI TUCSON,TUCSON,2.0,Hyundai,,,,2026-03-08T13:15:29.710827
